Generation,Breakdown Frequency,Schedulability
0,1.7700024,66.666664
1,1.4600027,57.575756
2,1.4600027,57.575756
3,1.4600027,57.575756
4,1.4600027,57.575756
5,1.4600027,57.575756
6,1.3800027,72.72727
7,1.3600028,75.757576
8,1.3600028,75.757576
9,1.3600028,75.757576
10,1.3600028,75.757576
11,1.3600028,75.757576
12,1.3600028,75.757576
13,1.3600028,75.757576
14,1.3600028,75.757576
15,1.3600028,75.757576
16,1.3600028,75.757576
17,1.3600028,75.757576
18,1.3600028,75.757576
19,1.3600028,75.757576
20,1.3600028,75.757576
21,1.3600028,75.757576
22,1.3600028,75.757576
23,1.3600028,75.757576
24,1.3600028,75.757576
25,1.3600028,75.757576
26,1.3600028,75.757576
27,1.3600028,75.757576
28,1.3200028,66.666664
29,1.3200028,66.666664
30,1.3200028,66.666664
31,1.3200028,66.666664
32,1.2600029,81.818184
33,1.2600029,81.818184
34,1.2600029,81.818184
35,1.2600029,81.818184
36,1.2600029,81.818184
37,1.2600029,81.818184
38,1.2600029,81.818184
39,1.2600029,81.818184
40,1.2600029,81.818184
41,1.2600029,81.818184
42,1.2600029,81.818184
43,1.2600029,81.818184
44,1.2600029,81.818184
45,1.2600029,81.818184
46,1.2600029,81.818184
47,1.2600029,81.818184
48,1.2600029,81.818184
49,1.2600029,81.818184
50,1.2600029,81.818184
51,1.130003,93.93939
52,1.130003,93.93939
53,1.130003,93.93939
54,1.130003,93.93939
55,1.130003,93.93939
56,1.130003,93.93939
57,1.130003,93.93939
58,1.130003,93.93939
59,1.130003,93.93939
60,1.130003,93.93939
61,1.130003,93.93939
62,1.130003,93.93939
63,1.110003,87.878784
64,1.110003,87.878784
65,1.110003,87.878784
66,1.110003,87.878784
67,1.110003,87.878784
68,1.110003,87.878784
69,1.110003,87.878784
70,1.110003,87.878784
71,1.110003,87.878784
72,1.110003,87.878784
73,1.110003,87.878784
74,1.110003,87.878784
75,1.110003,87.878784
76,1.110003,87.878784
77,1.110003,87.878784
78,1.110003,87.878784
79,1.070003,81.818184
80,1.070003,81.818184
81,1.070003,81.818184
82,1.070003,81.818184
83,1.0400031,87.878784
84,1.0400031,87.878784
85,1.0400031,87.878784
86,1.0400031,87.878784
87,1.0400031,87.878784
88,1.0300031,84.84848
89,1.0300031,84.84848
90,1.0100031,96.969696
91,1.0100031,96.969696
92,1.0100031,96.969696
93,1.0100031,96.969696
94,1.0000031,100.0
95,1.0000031,100.0
96,1.0000031,100.0
97,1.0000031,100.0
98,1.0000031,100.0
99,1.0000031,100.0
100,1.0000031,100.0
